1831;7798181510182;Bizcochitos dulces Smams 150g;;;;1900,00
1832;7798181510212;Crackers Smams 150g;;;;2550,00
1833;7798181510229;Crackers mix de semillas Smams 150g;;;;2550,00
1834;7798181510205;Crackers s/sal Smams150g;;;;2550,00
1836;7798181510847;Colegiales Smams 150g;;;;1670,00
1837;7798181510243;Polvorones vainilla Smams130g;;;;1620,00
1838;7798181511202;Polvorones limon Smams 130g;;;;1620,00
1839;7798181511196;Polvorones coco Smams 130g;;;;1620,00
1841;7798181510960;Anillitos de miel Smams 150g;;;;1910,00
1842;7798181510977;Anillitos frutados Smams 150g;;;;1910,00
1843;7798181510984;Bolitas de chocolate Smams 150g;;;;2150,00
1846;7793706000131;Tutucas Julicroc 90g;;;;1260,00
1848;7790495003404;Quinoa Pop 80g Yin Yang;;;;920,00
1853;7798181510120;Biscuits Smams 120g;;;;2850,00
1854;7798332890316;Aritos frutados Julicroc 150g;;;;1360,00
1855;7798332890323;Bolitas de chocolate Julicroc 150g;;;;1360,00
1859;7793706000438;Doninas frutos del bosque 200g;;;;2500,00
1860;7793706000421;Doninas frutos secos 200g;;;;2500,00
1861;7793706000360;Doninas 5 semillas 200g;;;;2500,00
1862;7793706000353;Doninas con chips chocolate 200g;;;;2500,00
1863;7798359330024;Doninas saladas con semillas180g;;;;2500,00
1864;7798359330017;Doninas limon con chia s/azucar 150g;;;;2510,00
1868;7790495004036;Garbanzo grande Yin Yang;;;;2200,00
1917;7798120322029;Caldo de verdura s/sal Bon wert 50g;;;;2630,00
1918;7798120322012;Caldo de verdura Bon wert 45g;;;;2630,00
1919;7798120322036;Caldo de carne Bon wert 50g;;;;2630,00
1920;7798120322043;Caldo de gallina Bon wert 50g;;;;2630,00
1921;7798120324085;Sopa de queso Bon wert 50g;;;;2400,00
1922;7798120324030;Sopa zapallo Bon wert 55g;;;;2400,00
1923;7798120324047;Sopa esparrago Bon wert 50g;;;;2460,00
1924;7798120324092;Sopa pollo Bon wert 50g;;;;2400,00
1925;7798120324054;Sopa choclo Bon wert 40g;;;;2400,00
1926;7798120324078;Sopa de arvejas Bon wert 50g;;;;2400,00
1927;7798120324023;Sopa cebolla Bon wert 50g;;;;2400,00
1928;7798120324016;Sopa verdura Bon wert 45g;;;;2400,00
1929;7798120324061;Sopa hongos Bon wert 50g;;;;2400,00
1930;7798067050450;Sopa light verdura Frams;;;;2000,00
1939;1939;Pre pizza grande Chuño;;;;3600,00
1940;1940;Pre pizza chica Chuño;;;;1500,00
1945;1945;Sandwich de miga Chuño;;;;5300,00
1980;7798293000120;Grisines clasicos Naquet;;;;1880,00
1982;7790495005651;Arroz yamani integral org. Yin yang;;;;2480,00
1985;7798151952585;Mani crocante jamon Mani king 80g;;;;2000,00
1990;736684208721;Pasta de mani coco Entrenuts;;;;3400,00
1993;7798160700337;Galletitas chocolate Delicel 150g;;;;2000,00
1998;7790412000271;Tostadas arroz c /sal Leiva;;;;1700,00
2000;2000;Coco y ddl tarta Chuño;;;;3300,00
2001;754697508324;Vainillas Palluzzi;;;;3300,00
2002;754697508300;Pepas batata Palluzzi 200g;;;;3300,00
2003;736684239145;Pepas dulce de leche Palluzzi;;;;3300,00
2004;7793706000193;Papas pay Julicroc 100g;;;;2000,00
2005;7798359330079;Doninas chocolate y mani 200g;;;;2500,00
2006;7798359330086;Doninas coco y ddl 200g;;;;2500,00
2035;7798151952592;Mani crocante queso Mani king 80g;;;;2000,00
2040;7798181510892;Snacks queso Smams 80g;;;;1100,00
2041;7798181510915;Snacks pizza Smams 80g;;;;1100,00
2066;636266687008;Miel pura Miraflores 250G;;;;2550,00
2083;7622201106034;Gelatina sin sabor Royal 14g;;;;1100,00
2085;7790895648816;Agua sin gas Benedictino 500ml;;;;950,00
2086;7790895067532;Coca cola 500ml;;;;1550,00
2096;7798160700320;Galletitas vain.c/chips Delicel 150g;;;;2000,00
2109;7622201812652;Mantecol 111g;;;;2500,00
2130;736684208707;Pasta de mani natural Entrenuts;;;;3400,00
2131;656750783979;Pasta de mani mix semillas Entrenuts;;;;3400,00
2133;7790895064142;Sprite s/a 500ml;;;;1550,00
2134;7790895648823;Agua sin gas Benedictino 2.25L;;;;1800,00
2141;754697508287;Pepas frutos rojos Palluzzi;;;;3300,00
2162;7798332890415;Papas corte americano Julicroc 80g;;;;1820,00
2189;7793913013238;Yogur entero c/fruti. Tregar 160g;;;;1200,00
2191;7793913013252;Yogur entero c/ arandanos Tregar;;;;1200,00
2192;7793913013245;Yogur entero c/ durazno Tregar 160g;;;;1200,00
2196;2196;Maicena alfajor Chuño;;;;2250,00
2197;7798181511233;Pan rallado Smams 350g;;;;2540,00
2198;7798181511240;Rellenas mousse choc. Smams105g;;;;1690,00
2199;7798181511257;Rellenas mousse limon Smams 105g;;;;1690,00
2206;7798160700573;Galletitas limon Delicel 150g;;;;2000,00
2213;7192727570874;Budin con chips de choco. Smams 200g;;;;4470,00
2217;7798181511219;Polvoron de vainilla Smams;;;;1620,00
2220;7790127789515;Salsa de Soja Vanoli 190g;;;;300,00
2223;7622201807498;Jugo naranja dulce Clight 7,5gr;;;;380,00
2227;7798332890422;Papas corte americano Julicroc 270g;;;;5180,00
